Nr,Pin Name,1 IN,1 OUT,2 IN,2 OUT,3 IN,3 OUT,4 IN,4 OUT,5 IN,5 OUT,6 IN,6 OUT,7 IN,7 OUT,Other,F1L 48,F1L 64,F1L 80,F1L 100,F1L 144,F1L 176,F1M 100,F1M 144,F1M 176,F1M 233,F1H 176,F1H 233,F1H 272,
70,P1_15,,RLIN23TX,,CAN7TX,,,,,,,,,,,,,,,,,,,,,,79,P12,U13,
70,P1_15,,RLIN23TX,,,,,,,,,,,,,,,,,,,79,,,79,P12,,,,
71,P2_0,RLIN27RX,,INTP6_CAN6RX,,,,,,,,,,,,,,,,,,,,,,,49,T5,W5,
71,P2_0,RLIN27RX,,,,,,,,,,,,,,,,,,,,49,,,49,T5,,,,
72,P2_1,,RLIN27TX,,CAN6TX,,,,,,,,,,,,,,,,,,,,,,48,R5,Y4,
72,P2_1,,RLIN27TX,,,,,,,,,,,,,,,,,,,48,,,48,R5,,,,
73,P2_2,RLIN28RX,,,,,,,,,,,,,,,,,,,,65,,,65,T10,65,T10,W10,
74,P2_3,,RLIN28TX,,,,,,,,,,,,,,,,,,,64,,,64,U10,64,U10,W9,
75,P2_4,RLIN29RX,,,ADCA0SEL0,,,,,,,,,,,,,,,,,,,,76,T13,76,T13,W13,
75,P2_4,RLIN29RX,,,,,,,,,,,,,,,,,,,,76,,,,,,,,
76,P2_5,,RLIN29TX,,ADCA0SEL1,,,,,,,,,,,,,,,,,,,,77,U14,77,U14,V12,
76,P2_5,,RLIN29TX,,,,,,,,,,,,,,,,,,,77,,,,,,,,
77,P2_6,,ADCA0SEL2,,,,,,,,,,,,,,,,,,,,,,36,R1,36,R1,R3,
77,P2_6,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,
78,P2_7,RLIN210RX,,,,,,,,,,,,,,,,,,,,,,,,,,M4,U2,
78,P2_7,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,
79,P2_8,,RLIN210TX,,,,,,,,,,,,,,,,,,,,,,,,,T1,T3,
79,P2_8,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,
80,P2_9,,PWGA77O,,,,,,,,,,,,,,,,,,,,,,,M3,,M3,T4,
81,P2_10,,PWGA78O,,,,,,,,,,,,,,,,,,,,,,,R2,,R2,W1,
82,P2_11,,PWGA79O,,,,,,,,,,,,,,,,,,,,,,,N4,,N4,U3,
83,P2_12,RLIN211RX,,,,,,,,,,,,,,,,,,,,,,,,,,T2,V2,
83,P2_12,,,,,,,,,,,,,,,,,,,,,,,,,T2,,,,
84,P2_13,,RLIN211TX,,,,,,,,,,,,,,,,,,,,,,,,,P7,V7,
84,P2_13,,,,,,,,,,,,,,,,,,,,,,,,,P7,,,,
85,P2_14,,PWGA74O,,,,,,,,,,,,,,,,,,,,,,,T6,,T6,Y6,
86,P2_15,,PWGA75O,,,,,,,,,,,,,,,,,,,,,,,P8,,P8,W7,
87,P3_0,,PWGA76O,,,,,,,,,,,,,,,,,,,,,,,R8,,R8,V8,
88,P3_1,,PWGA80O,,,,,,,,,,,,,,,,,,,,,,,,,,V14,
89,P3_2,,PWGA81O,,,,,,,,,,,,,,,,,,,,,,,,,,W16,
90,P3_3,,PWGA82O,,,,,,,,,,,,,,,,,,,,,,,,,,V16,
91,P3_4,,PWGA83O,,,,,,,,,,,,,,,,,,,,,,,,,,W18,
92,P3_5,,PWGA84O,,,,,,,,,,,,,,,,,,,,,,,,,,Y19,
93,P3_6,,PWGA85O,,,,,,,,,,,,,,,,,,,,,,,,,,V17,
94,P3_7,,PWGA86O,,,,,,,,,,,,,,,,,,,,,,,,,,U16,
95,P3_8,,PWGA87O,,,,,,,,,,,,,,,,,,,,,,,,,,W19,
96,P3_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,V18,
97,P3_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,U17,
98,P8_0,TAUJ0I0,TAUJ0O0,DPIN2,PWGA14O,INTP4,CSIH0CSS0,,,,,,,,,ADCA0I0S,,27,35,42,64,80,42,64,80,U15,80,U15,W14,
98,P8_0,TAUJ0I0,TAUJ0O0,DPIN2,,INTP4,CSIH0CSS0,,,,,,,,,ADCA0I0S,23,,,,,,,,,,,,,
99,P8_1,TAPA0ESO,TAUJ0O1,DPIN0,PWGA15O,INTP5,CSIH1CSS3,,,,,,,,,ADCA0I1S,,,36,43,65,81,43,65,81,T14,81,T14,V13,
99,P8_1,TAPA0ESO,TAUJ0O1,DPIN0,PWGA15O,INTP5,,,,,,,,,,ADCA0I1S,,28,,,,,,,,,,,,
99,P8_1,TAPA0ESO,TAUJ0O1,DPIN0,,INTP5,,,,,,,,,,ADCA0I1S,24,,,,,,,,,,,,,
100,P8_2,TAUJ0I0,TAUJ0O0,DPIN2,CSIH0CSS0,INTP6,PWGA22O,,,,,,,,,ADCA0I4S,,,17,19,30,38,19,30,38,U2,38,U2,W2,
100,P8_2,TAUJ0I0,TAUJ0O0,DPIN2,CSIH0CSS0,,PWGA22O,,,,,,,,,ADCA0I4S,,13,,,,,,,,,,,,
101,P8_3,TAUJ0I1,TAUJ0O1,DPIN3,CSIH0CSS1,INTP7,PWGA23O,,,,,,,,,ADCA0I5S,,,37,44,66,82,44,66,82,U16,82,U16,Y15,
101,P8_3,TAUJ0I1,TAUJ0O1,DPIN3,CSIH0CSS1,,PWGA23O,,,,,,,,,ADCA0I5S,,29,,,,,,,,,,,,
102,P8_4,TAUJ0I2,TAUJ0O2,DPIN4,CSIH0CSS2,INTP8,PWGA36O,,,,,,,,,ADCA0I6S,,,,45,67,83,45,67,83,R14,83,R14,W15,
102,P8_4,TAUJ0I2,TAUJ0O2,DPIN4,CSIH0CSS2,INTP8,,,,,,,,,,ADCA0I6S,,,38,,,,,,,,,,,
102,P8_4,TAUJ0I2,TAUJ0O2,DPIN4,CSIH0CSS2,,,,,,,,,,,ADCA0I6S,,30,,,,,,,,,,,,
103,P8_5,TAUJ0I3,TAUJ0O3,,CSIH0CSS3,INTP9,PWGA37O,,,,,,,,,ADCA0I7S,,,,,68,84,,68,84,T15,84,T15,Y16,
103,P8_5,TAUJ0I3,TAUJ0O3,,CSIH0CSS3,,PWGA37O,,,,,,,,,ADCA0I7S,,,,46,,,46,,,,,,,
103,P8_5,TAUJ0I3,TAUJ0O3,,CSIH0CSS3,,,,,,,,,,,ADCA0I7S,,31,39,,,,,,,,,,,
104,P8_6,NMI,CSIH0CSS4,,PWGA38O,,RTCA0OUT,,,,,,,,,ADCA0I8S,,,,,69,85,,69,85,P13,85,P13,Y17,
104,P8_6,NMI,CSIH0CSS4,,PWGA38O,,,,,,,,,,,ADCA0I8S,,,,47,,,47,,,,,,,
104,P8_6,NMI,CSIH0CSS4,,,,,,,,,,,,,ADCA0I8S,,,40,,,,,,,,,,,
104,P8_6,NMI,,,,,,,,,,,,,,ADCA0I8S,,32,,,,,,,,,,,,
105,P8_7,,CSIH3CSS0,,PWGA39O,,,,,,,,,,,ADCA0I14S,,,,48,70,86,48,70,86,R15,86,R15,V15,
106,P8_8,,CSIH3CSS1,,PWGA40O,,,,,,,,,,,ADCA0I15S,,,,49,71,87,49,71,87,P14,87,P14,W17,
107,P8_9,,CSIH3CSS2,,PWGA41O,,,,,,,,,,,ADCA0I16S,,,,50,72,88,50,72,88,T16,88,T16,Y18,
108,P8_10,,CSIH3CSS3,DPIN14,PWGA42O,,,,,,,,,,,ADCA0I17S,,,,20,31,39,20,31,39,P3,39,P3,V3,
109,P8_11,TAUJ1I2,TAUJ1O2,DPIN15,PWGA43O,,CSIH1CSS4,,,,,,,,,ADCA0I18S,,,,21,32,40,21,32,40,T3,40,T3,Y2,
110,P8_12,TAUJ1I3,TAUJ1O3,DPIN16,PWGA44O,,CSIH1CSS5,,,,,,,,,ADCA0I19S,,,,22,33,41,22,33,41,P4,41,P4,U4,
111,P9_0,NMI,PWGA8O,TAUD0I0,TAUD0O0,ADCA0TRG0,CSIH2CSS0,KR0I4,,,,,,,,ADCA0I2S,,,54,69,92,108,69,92,108,K16,108,K16,N18,
111,P9_0,NMI,PWGA8O,TAUD0I0,TAUD0O0,ADCA0TRG0,,KR0I4,,,,,,,,ADCA0I2S,35,45,,,,,,,,,,,,
112,P9_1,INTP11,PWGA9O,TAUD0I2,TAUD0O2,KR0I5,CSIH2CSS1,,,,,,,,,ADCA0I3S,,,55,70,93,109,70,93,109,K17,109,K17,N19,
112,P9_1,INTP11,PWGA9O,TAUD0I2,TAUD0O2,KR0I5,,,,,,,,,,ADCA0I3S,36,46,,,,,,,,,,,,
113,P9_2,KR0I6,PWGA20O,TAPA0ESO,CSIH2CSS2,,,,,,,,,,,ADCA0I9S,,,56,71,94,110,71,94,110,J17,110,J17,N20,
113,P9_2,KR0I6,PWGA20O,TAPA0ESO,,,,,,,,,,,,ADCA0I9S,,47,,,,,,,,,,,,
114,P9_3,KR0I7,PWGA21O,,CSIH2CSS3,TAUJ1I1,TAUJ1O1,,,,,,,,,ADCA0I10S,,,,,,,,,111,J15,111,J15,M18,
114,P9_3,KR0I7,PWGA21O,,CSIH2CSS3,,,,,,,,,,,ADCA0I10S,,,57,72,95,111,72,95,,,,,,
114,P9_3,KR0I7,PWGA21O,,,,,,,,,,,,,ADCA0I10S,,48,,,,,,,,,,,,
115,P9_4,,CSIH0CSS5,,PWGA33O,TAUJ1I0,TAUJ1O0,,,,,,,,,ADCA0I11S,,,,73,96,112,73,96,112,J16,112,J16,M19,
115,P9_4,,CSIH0CSS5,,,,,,,,,,,,,ADCA0I11S,,,58,,,,,,,,,,,
116,P9_5,,CSIH0CSS6,,PWGA34O,TAUJ1I1,TAUJ1O1,,,,,,,,,ADCA0I12S,,,,74,97,113,74,,,,,,,
116,P9_5,,CSIH0CSS6,,,,,,,,,,,,,ADCA0I12S,,,59,,,,,,,,,,,
117,P9_6,,CSIH0CSS7,,PWGA35O,,,,,,,,,,,ADCA0I13S,,,,75,98,114,75,,,,,,,
117,P9_6,,CSIH0CSS7,,,,,,,,,,,,,ADCA0I13S,,,60,,,,,,,,,,,
118,P10_0,TAUD0I1,TAUD0O1,CAN0RX_INTP0,CSCXFOUT,,PWGA0O,,TAPA0UP,CSIH1SI,MEMC0A19,ETH0RXCLK,,,,,,,,,,,,,,,174,A2,C4,
118,P10_0,TAUD0I1,TAUD0O1,CAN0RX_INTP0,CSCXFOUT,,PWGA0O,,TAPA0UP,CSIH1SI,MEMC0A19,,,,,,,,,,,174,,,174,A2,,,,
118,P10_0,TAUD0I1,TAUD0O1,CAN0RX_INTP0,CSCXFOUT,,PWGA0O,,TAPA0UP,CSIH1SI,,,,,,,,,78,98,142,,98,142,,,,,,
118,P10_0,TAUD0I1,TAUD0O1,CAN0RX_INTP0,CSCXFOUT,,PWGA0O,,TAPA0UP,,,,,,,,46,62,,,,,,,,,,,,
119,P10_1,TAUD0I3,TAUD0O3,,CAN0TX,,PWGA1O,,TAPA0UN,CSIH1SC,CSIH1SC,ETH0RXD0,,ETH0RRXD0,,MODE0,,,,,,,,,,,175,B2,B3,
119,P10_1,TAUD0I3,TAUD0O3,,CAN0TX,,PWGA1O,,TAPA0UN,CSIH1SC,CSIH1SC,,,,,MODE0,,,79,99,143,175,99,143,175,B2,,,,
119,P10_1,TAUD0I3,TAUD0O3,,CAN0TX,,PWGA1O,,TAPA0UN,,,,,,,MODE0,47,63,,,,,,,,,,,,
120,P10_2,TAUD0I5,TAUD0O5,RIIC0SDA,RIIC0SDA,KR0I0,PWGA2O,ADCA0TRG0,TAPA0VP,,CSIH1SO,ETH0RXD1,,ETH0RRXD1,,MODE1,,,,,,,,,,,176,C3,C3,
120,P10_2,TAUD0I5,TAUD0O5,RIIC0SDA,RIIC0SDA,KR0I0,PWGA2O,ADCA0TRG0,TAPA0VP,,CSIH1SO,,,,,MODE1,,,80,100,144,176,100,144,176,C3,,,,
120,P10_2,TAUD0I5,TAUD0O5,RIIC0SDA,RIIC0SDA,KR0I0,PWGA2O,ADCA0TRG0,TAPA0VP,,,,,,,MODE1,48,64,,,,,,,,,,,,
121,P10_3,TAUD0I7,TAUD0O7,RIIC0SCL,RIIC0SCL,KR0I1,PWGA3O,ADCA0TRG1,TAPA0VN,_CSIH1SSI,MEMC0CLK,,,,,,,,,,,1,,,1,B1,1,B1,B2,
121,P10_3,TAUD0I7,TAUD0O7,RIIC0SCL,RIIC0SCL,KR0I1,PWGA3O,ADCA0TRG1,TAPA0VN,_CSIH1SSI,,,,,,,,,1,1,1,,1,1,,,,,,
121,P10_3,TAUD0I7,TAUD0O7,RIIC0SCL,RIIC0SCL,KR0I1,PWGA3O,ADCA0TRG1,TAPA0VN,,,,,,,,1,1,,,,,,,,,,,,
122,P10_4,TAUD0I9,TAUD0O9,RLIN21RX,,KR0I2,ADCA0SEL0,ADCA0TRG2,TAPA0WP,_CSIG0SSI,,ETH0RXD2,,,,,,,,,,,,,,,2,D3,E3,
122,P10_4,TAUD0I9,TAUD0O9,RLIN21RX,,KR0I2,ADCA0SEL0,ADCA0TRG2,TAPA0WP,_CSIG0SSI,,,,,,,2,2,2,2,2,2,2,2,2,D3,,,,
123,P10_5,TAUD0I11,TAUD0O11,,RLIN21TX,KR0I3,ADCA0SEL1,,TAPA0WN,CSIG0RYI,CSIG0RYO,ETH0RXD3,,,,,,,,,,,,,,,3,C2,D3,
123,P10_5,TAUD0I11,TAUD0O11,,RLIN21TX,KR0I3,ADCA0SEL1,,TAPA0WN,CSIG0RYI,CSIG0RYO,,,,,,3,3,3,3,3,3,3,3,3,C2,,,,
124,P10_6,TAUD0I13,TAUD0O13,,CSIG0SO,ENCA0TIN0,ADCA0SEL2,CAN1RX_INTP1,,MEMC0AD0,MEMC0AD0,,,,,,,,,,,152,,,152,A9,152,A9,A12,
124,P10_6,TAUD0I13,TAUD0O13,,CSIG0SO,ENCA0TIN0,ADCA0SEL2,CAN1RX_INTP1,,,,,,,,,,51,63,80,120,,80,120,,,,,,
124,P10_6,TAUD0I13,TAUD0O13,,CSIG0SO,ENCA0TIN0,ADCA0SEL2,,,,,,,,,,39,,,,,,,,,,,,,
125,P10_7,TAUD0I15,TAUD0O15,CSIG0SC,CSIG0SC,ENCA0TIN1,PWGA4O,,CAN1TX,MEMC0AD1,MEMC0AD1,,,,,,,,,,,153,,,153,A8,153,A8,C11,
125,P10_7,TAUD0I15,TAUD0O15,CSIG0SC,CSIG0SC,ENCA0TIN1,PWGA4O,,CAN1TX,,,,,,,,,52,64,81,121,,81,121,,,,,,
125,P10_7,TAUD0I15,TAUD0O15,CSIG0SC,CSIG0SC,ENCA0TIN1,PWGA4O,,,,,,,,,,40,,,,,,,,,,,,,
